period,pe,ee,ee_down,en,em,ne,me,mn,m,u,recall_en,recall_ee,wage_p1,wage_p5,wage_p10,minwage,wage_mean,wage_var,fe_mean,fe_var
1,1,.012083,.005433,.066558,.000137,.033307,.019185,.095723,.009914,.677982,.065999,.28877,-.5276327,-.0356272,.0187701,-1.203973,.4778958,.1586546,1.256867,.14187164
1,2,.013963,.006024,.056851,.000078,.044126,.020749,.098542,.00629,.580531,.075682,.268655,-.1887421,.0344014,.1405178,-1.203973,.7058185,.1687234,1.2209237,.14910136
1,3,.013995,.005806,.049793,.000065,.048819,.025492,.099034,.004318,.521884,.083464,.256436,-.0100503,.1244275,.2623642,-1.203973,.8737919,.1803075,1.26398,.15757623
1,4,.014308,.005884,.044311,.000042,.05115,.024454,.094926,.003177,.478331,.089299,.275817,.0099503,.2311117,.3784365,-1.203973,1.016006,.1937687,1.2978726,.16668378
1,5,.014767,.006144,.040989,.000038,.052536,.028261,.096843,.002442,.44755,.100433,.300376,.0372958,.3293037,.5104255,-1.203973,1.155334,.2154463,1.3270998,.18188779
1,6,.01561,.006626,.037808,.000027,.052653,.024964,.094661,.001913,.421619,.110876,.327519,.0953102,.438255,.6510223,-1.203973,1.316261,.2475135,1.3647602,.20644298
1,7,.016281,.006958,.033382,.000023,.051642,.02439,.093212,.00138,.388616,.117508,.37493,.177309,.5944312,.8044446,-1.203973,1.507697,.2700243,1.4101239,.22343569
1,8,.017176,.007543,.028123,.000015,.050199,.030127,.08482,.001057,.348466,.131114,.429734,.3025259,.7900058,1.027161,-1.203973,1.734958,.2835001,1.4551432,.23357941
1,9,.023029,.010505,.022431,.000025,.042315,.041585,.087719,.000726,.323142,.144675,.578817,.479335,1.069527,1.333526,-1.203973,2.084681,.3341079,1.5196924,.27030231
1,10,.030473,.014241,.016609,.000016,.03103,.040506,.075443,.000451,.30128,.155406,.678088,.8697507,1.690465,1.962908,-1.154493,2.849638,.4745987,1.6051155,.29472565
2,1,.01499,.006826,.06798,.000173,.036238,.02414,.107013,.009182,.640408,.046646,.297027,-.7686547,-.328504,-.1053605,-1.203973,.1731392,.0803619,.78751743,.05783363
2,2,.014763,.006577,.057112,.00016,.048888,.030616,.105092,.00721,.537335,.057925,.207085,-.1392621,.0043779,.0309448,-1.203973,.3006014,.0529244,.72194677,.04534877
2,3,.014694,.006353,.048291,.000107,.053575,.029644,.106578,.005033,.474642,.067293,.218957,-.0512933,.0295588,.0701477,-1.203973,.3872041,.0589392,.72271285,.04998581
2,4,.015463,.006638,.041893,.00007,.055976,.028342,.097523,.003747,.427938,.075321,.267534,-.0100504,.0598783,.1279725,-1.203973,.4817744,.068062,.73852415,.05680933
2,5,.016622,.007177,.036644,.000067,.056617,.035002,.095238,.002731,.389856,.082759,.324612,.0099503,.1158764,.2151114,-1.203973,.5868157,.0793074,.76001694,.06584124
2,6,.017209,.007501,.032798,.000044,.056417,.038648,.08964,.001878,.35989,.092822,.367899,.0295588,.209229,.3135405,-1.203973,.7017578,.0925885,.77965922,.07593478
2,7,.016828,.007333,.027878,.000044,.056202,.044367,.084148,.001433,.320761,.101676,.382693,.0610951,.3074847,.4201713,-1.203973,.841301,.1036793,.79991976,.0826692
2,8,.018429,.008163,.022252,.000028,.055003,.046217,.078348,.000843,.273498,.11268,.45611,.1231022,.447191,.5872624,-1.203973,1.043018,.1224701,.83971771,.09581985
2,9,.023107,.010611,.015191,.000028,.046844,.062207,.064319,.000532,.2227,.113131,.598437,.2468601,.6780336,.8455381,-1.203973,1.356683,.1587984,.88808887,.1177776
2,10,.027284,.012765,.009698,.000025,.032032,.104575,.053688,.000257,.190789,.079556,.653449,.6094458,1.213428,1.393766,-1.18417,2.151052,.3737426,.9847207,.14509904
